음식명,에너지(kcal),중량(g),탄수화물(g),단백질(g),지방(g),당뇨 위험 분류,레이블,고기,채소,해산물,Diabetes_Friendliness
감자볶음,116.0,100.0,16.0,3.0,5.0,0,0,0.0,1.0,0.0,1
김치볶음,95.0,100.0,11.0,3.0,6.0,0,0,0.0,0.0,0.0,1
깻잎나물볶음,106.0,100.0,9.0,4.0,8.0,0,0,0.0,1.0,0.0,1
느타리버섯볶음,89.0,100.0,9.0,3.0,6.0,0,0,0.0,1.0,0.0,1
두부김치,117.0,100.0,6.0,8.0,9.0,0,0,0.0,0.0,0.0,1
머위나물볶음,69.0,100.0,5.0,3.0,5.0,0,0,0.0,1.0,0.0,1
양송이버섯볶음,88.0,100.0,7.0,4.0,7.0,0,0,0.0,1.0,0.0,1
표고버섯볶음,96.0,100.0,10.0,3.0,5.0,0,0,0.0,1.0,0.0,1
고추잡채,132.0,100.0,11.0,6.0,6.0,0,0,0.0,1.0,0.0,1
호박볶음,58.0,100.0,6.0,2.0,4.0,0,0,0.0,1.0,0.0,1
돼지고기볶음,177.0,100.0,8.0,13.0,10.0,0,0,1.0,0.0,0.0,1
돼지껍데기볶음,231.0,100.0,15.0,15.0,13.0,0,0,1.0,0.0,0.0,1
소세지볶음,238.0,100.0,14.0,9.0,17.0,0,0,1.0,0.0,0.0,1
순대볶음,145.0,100.0,18.0,4.0,6.0,1,0,0.0,0.0,0.0,1
오리불고기,224.0,100.0,10.0,15.0,14.0,0,0,1.0,0.0,0.0,1
오삼불고기,178.0,100.0,11.0,12.0,10.0,0,0,1.0,0.0,0.0,1
떡볶이,150.0,100.0,29.0,4.0,1.0,0,0,0.0,0.0,0.0,1
라볶이,133.0,100.0,21.0,4.0,5.0,0,0,0.0,0.0,0.0,1
마파두부,113.0,100.0,5.0,8.0,6.0,0,0,0.0,0.0,0.0,1
가자미조림,100.0,100.0,7.0,14.0,2.0,0,0,0.0,0.0,1.0,1
갈치조림,99.0,100.0,5.0,11.0,4.0,0,0,0.0,0.0,1.0,2
고등어조림,184.0,100.0,4.0,18.0,10.0,0,0,0.0,0.0,1.0,1
꽁치조림,187.0,100.0,6.0,15.0,11.0,0,0,0.0,0.0,1.0,1
동태조림,108.0,100.0,7.0,16.0,2.0,0,0,0.0,0.0,1.0,1
북어조림,185.0,100.0,16.0,24.0,3.0,0,0,0.0,0.0,1.0,1
조기조림,126.0,100.0,5.0,14.0,5.0,0,0,0.0,0.0,1.0,1
코다리조림,147.0,100.0,5.0,18.0,6.0,0,0,0.0,0.0,1.0,1
달걀장조림,134.0,100.0,10.0,9.0,6.0,0,0,0.0,0.0,0.0,1
메추리알장조림,205.0,100.0,7.0,12.0,14.0,0,0,0.0,0.0,0.0,1
돼지고기메추리알장조림,126.0,100.0,6.0,15.0,4.0,0,0,1.0,0.0,0.0,1
소고기메추리알장조림,122.0,100.0,7.0,13.0,4.0,0,0,1.0,0.0,0.0,1
고추조림,106.0,100.0,15.0,3.0,4.0,0,0,0.0,1.0,0.0,1
감자조림,78.0,100.0,17.0,3.0,0.0,0,0,0.0,1.0,0.0,1
우엉조림,228.0,100.0,52.0,4.0,1.0,0,0,0.0,1.0,0.0,0
알감자조림,112.0,100.0,21.0,3.0,3.0,0,0,0.0,1.0,0.0,1
(검은)콩조림,284.0,100.0,35.0,19.0,10.0,1,0,0.0,1.0,0.0,1
콩조림,296.0,100.0,39.0,18.0,10.0,1,0,0.0,1.0,0.0,1
두부고추장조림,134.0,100.0,8.0,10.0,8.0,0,0,0.0,0.0,0.0,1
땅콩조림,402.0,100.0,33.0,15.0,26.0,1,0,0.0,0.0,0.0,0
미꾸라지튀김,764.0,200.0,61.0,25.0,45.0,1,0,0.0,0.0,1.0,0
새우튀김,623.0,200.0,44.0,24.0,39.0,1,0,0.0,0.0,1.0,0
생선가스,646.0,200.0,57.0,25.0,37.0,1,0,0.0,0.0,1.0,0
쥐포튀김,707.0,200.0,76.0,22.0,33.0,1,0,0.0,0.0,1.0,0
오징어튀김,617.0,200.0,52.0,27.0,33.0,1,0,0.0,0.0,1.0,0
닭강정,647.0,200.0,48.0,37.0,31.0,1,0,1.0,0.0,0.0,0
닭튀김,607.0,200.0,31.0,36.0,35.0,0,0,1.0,0.0,0.0,0
돈가스,621.0,200.0,37.0,28.0,39.0,1,0,1.0,0.0,0.0,0
모래집튀김,610.0,200.0,42.0,30.0,35.0,1,0,1.0,0.0,0.0,0
양념치킨,568.0,200.0,39.0,30.0,31.0,1,0,1.0,0.0,0.0,0
치즈돈가스,607.0,200.0,36.0,29.0,37.0,1,0,1.0,0.0,0.0,0
치킨가스,582.0,200.0,51.0,31.0,29.0,1,0,1.0,0.0,0.0,0
탕수육,454.0,200.0,56.0,17.0,17.0,1,0,1.0,0.0,0.0,0
깐풍기,585.0,200.0,43.0,28.0,33.0,1,0,1.0,0.0,0.0,0
감자튀김,308.0,100.0,33.0,4.0,17.0,1,0,0.0,0.0,0.0,0
고구마맛탕,491.0,200.0,90.0,3.0,14.0,1,0,0.0,0.0,0.0,0
고구마튀김,483.0,200.0,68.0,6.0,22.0,1,0,0.0,0.0,0.0,0
고추튀김,397.0,200.0,25.0,13.0,27.0,0,0,0.0,0.0,0.0,0
김말이튀김,481.0,200.0,65.0,4.0,25.0,1,0,0.0,0.0,0.0,0
채소튀김,624.0,200.0,73.0,6.0,37.0,1,0,0.0,0.0,0.0,0
노각무침,54.0,100.0,11.0,2.0,1.0,0,0,0.0,0.0,0.0,1
단무지무침,38.0,100.0,6.0,1.0,2.0,0,0,0.0,0.0,0.0,1
달래나물무침,88.0,100.0,17.0,3.0,2.0,0,0,0.0,1.0,0.0,1
더덕무침,147.0,100.0,32.0,3.0,2.0,0,0,0.0,1.0,0.0,1
도라지생채,110.0,100.0,26.0,3.0,1.0,0,0,0.0,1.0,0.0,1
도토리묵,43.0,100.0,10.0,0.0,0.0,0,0,0.0,1.0,0.0,1
마늘쫑무침,127.0,100.0,31.0,3.0,1.0,0,0,0.0,1.0,0.0,1
무생채,49.0,100.0,11.0,2.0,1.0,0,0,0.0,1.0,0.0,1
무말랭이,133.0,100.0,32.0,5.0,1.0,0,0,0.0,1.0,0.0,1
오이생채,47.0,100.0,9.0,2.0,1.0,0,0,0.0,1.0,0.0,1
파무침,83.0,100.0,13.0,3.0,4.0,0,0,0.0,1.0,0.0,1
상추겉절이,65.0,100.0,9.0,3.0,3.0,0,0,0.0,1.0,0.0,1
쑥갓나물무침,63.0,100.0,6.0,4.0,4.0,0,0,0.0,1.0,0.0,1
청포묵무침,63.0,100.0,8.0,1.0,2.0,0,0,0.0,1.0,0.0,1
해파리냉채,58.0,100.0,9.0,4.0,1.0,0,0,0.0,1.0,0.0,1
가지나물,44.0,100.0,6.0,1.0,3.0,0,0,0.0,1.0,0.0,1
고사리나물,87.0,100.0,8.0,4.0,7.0,0,0,0.0,1.0,0.0,1
도라지나물,109.0,100.0,11.0,1.0,8.0,0,0,0.0,1.0,0.0,1
무나물,69.0,100.0,6.0,1.0,5.0,0,0,0.0,1.0,0.0,1
미나리나물,57.0,100.0,5.0,2.0,4.0,0,0,0.0,1.0,0.0,1
숙주나물,39.0,100.0,3.0,3.0,3.0,0,0,0.0,1.0,0.0,1
시금치나물,75.0,100.0,8.0,4.0,5.0,0,0,0.0,1.0,0.0,1
취나물,146.0,100.0,7.0,3.0,13.0,0,0,0.0,1.0,0.0,1
콩나물,48.0,100.0,2.0,3.0,4.0,0,0,0.0,1.0,0.0,1
고구마줄기나물,61.0,100.0,6.0,1.0,4.0,0,0,0.0,1.0,0.0,1
우거지나물무침,84.0,100.0,7.0,3.0,6.0,0,0,0.0,1.0,0.0,1
골뱅이무침,107.0,100.0,16.0,8.0,2.0,0,0,0.0,0.0,1.0,1
김무침,270.0,100.0,41.0,16.0,14.0,1,0,0.0,0.0,1.0,1
미역초무침,50.0,100.0,11.0,2.0,1.0,0,0,0.0,0.0,1.0,1
북어채무침,221.0,100.0,21.0,25.0,4.0,0,0,0.0,0.0,1.0,1
회무침,104.0,100.0,14.0,9.0,1.0,0,0,0.0,0.0,1.0,1
쥐치채,267.0,100.0,51.0,14.0,1.0,0,0,0.0,0.0,1.0,0
파래무침,105.0,100.0,18.0,8.0,2.0,0,0,0.0,0.0,1.0,1
홍어무침,97.0,100.0,12.0,11.0,1.0,0,0,0.0,0.0,1.0,2
골뱅이국수무침,111.0,100.0,17.0,5.0,3.0,0,0,0.0,0.0,1.0,1
오징어무침,125.0,100.0,7.0,19.0,2.0,0,0,0.0,0.0,1.0,1
잡채,133.0,100.0,25.0,2.0,3.0,0,0,0.0,1.0,0.0,1
탕평채,101.0,100.0,10.0,4.0,3.0,0,0,0.0,1.0,0.0,1
갓김치,55.0,100.0,10.0,4.0,1.0,0,0,0.0,0.0,0.0,1
고들빼기,111.0,100.0,24.0,4.0,1.0,0,0,0.0,0.0,0.0,1
깍두기,36.0,100.0,8.0,2.0,0.0,0,0,0.0,0.0,0.0,1
깻잎김치,83.0,100.0,16.0,4.0,2.0,0,0,0.0,0.0,0.0,1
나박김치,15.0,100.0,2.0,1.0,0.0,0,0,0.0,0.0,0.0,1
동치미,14.0,100.0,4.0,1.0,0.0,0,0,0.0,0.0,0.0,1
배추겉절이,42.0,100.0,9.0,2.0,1.0,0,0,0.0,0.0,0.0,1
배추김치,37.0,100.0,8.0,2.0,1.0,0,0,0.0,0.0,0.0,1
백김치,40.0,100.0,9.0,2.0,1.0,0,0,0.0,0.0,0.0,1
부추김치,66.0,100.0,13.0,4.0,1.0,0,0,0.0,0.0,0.0,1
열무김치,33.0,100.0,6.0,3.0,1.0,0,0,0.0,0.0,0.0,1
열무얼갈이김치,33.0,100.0,6.0,3.0,1.0,0,0,0.0,0.0,0.0,1
오이소박이,33.0,100.0,6.0,2.0,1.0,0,0,0.0,1.0,0.0,1
총각김치,35.0,100.0,7.0,2.0,1.0,0,0,0.0,0.0,0.0,1
파김치,56.0,100.0,11.0,3.0,1.0,0,0,0.0,0.0,0.0,1
간장게장,117.0,100.0,6.0,13.0,1.0,0,0,0.0,0.0,0.0,1
마늘쫑장아찌,57.0,100.0,12.0,2.0,0.0,0,0,0.0,0.0,0.0,1
고추장아찌,75.0,100.0,14.0,3.0,0.0,0,0,0.0,0.0,0.0,1
깻잎장아찌,112.0,100.0,26.0,7.0,1.0,0,0,0.0,0.0,0.0,1
마늘장아찌,54.0,100.0,10.0,3.0,0.0,0,0,0.0,0.0,0.0,1
무장아찌,91.0,100.0,18.0,2.0,1.0,0,0,0.0,0.0,0.0,1
양념게장,138.0,100.0,23.0,10.0,1.0,0,0,0.0,0.0,0.0,1
양파장아찌,39.0,100.0,7.0,1.0,0.0,0,0,0.0,0.0,0.0,1
오이지,23.0,100.0,5.0,2.0,1.0,0,0,0.0,0.0,0.0,1
무피클,34.0,100.0,8.0,1.0,0.0,0,0,0.0,0.0,0.0,1
오이피클,108.0,100.0,29.0,1.0,0.0,0,0,0.0,0.0,0.0,1
단무지,13.0,100.0,2.0,0.0,1.0,0,0,0.0,0.0,0.0,1
오징어젓갈,68.0,100.0,3.0,12.0,1.0,0,0,0.0,0.0,1.0,2
명란젓,120.0,100.0,3.0,21.0,3.0,0,0,0.0,0.0,1.0,1
생연어,110.0,100.0,1.0,21.0,2.0,0,0,0.0,0.0,1.0,1
생선물회,288.0,400.0,41.0,18.0,7.0,0,0,0.0,0.0,1.0,1
광어회,232.0,200.0,19.0,34.0,3.0,0,0,0.0,0.0,1.0,1
훈제연어,338.0,200.0,19.0,39.0,12.0,0,0,0.0,0.0,1.0,0
육회,315.0,200.0,21.0,33.0,11.0,0,0,1.0,0.0,0.0,0
육사시미,271.0,200.0,9.0,39.0,8.0,0,0,1.0,0.0,0.0,1
가래떡,205.0,100.0,45.0,4.0,0.0,0,0,0.0,0.0,0.0,1
경단,304.0,100.0,67.0,7.0,1.0,0,0,0.0,0.0,0.0,0
꿀떡,226.0,100.0,50.0,3.0,1.0,0,0,0.0,0.0,0.0,1
시루떡,224.0,100.0,49.0,6.0,0.0,0,0,0.0,0.0,0.0,1
메밀전병,166.0,100.0,25.0,6.0,5.0,1,0,0.0,0.0,0.0,1
찰떡,216.0,100.0,45.0,6.0,1.0,0,0,0.0,0.0,0.0,1
무지개떡,218.0,100.0,49.0,4.0,1.0,0,0,0.0,0.0,0.0,1
백설기,219.0,100.0,48.0,4.0,1.0,0,0,0.0,0.0,0.0,1
송편,235.0,100.0,47.0,4.0,3.0,0,0,0.0,0.0,0.0,1
수수부꾸미,259.0,100.0,46.0,5.0,6.0,1,0,0.0,0.0,0.0,1
수수팥떡,213.0,100.0,45.0,6.0,1.0,0,0,0.0,0.0,0.0,1
쑥떡,238.0,100.0,55.0,5.0,0.0,0,0,0.0,0.0,0.0,0
약식,232.0,100.0,49.0,4.0,2.0,0,0,0.0,0.0,0.0,1
인절미,214.0,100.0,43.0,6.0,2.0,0,0,0.0,0.0,0.0,1
절편,198.0,100.0,44.0,3.0,0.0,0,0,0.0,0.0,0.0,1
증편,199.0,100.0,44.0,3.0,0.0,0,0,0.0,0.0,0.0,1
찹쌀떡,265.0,100.0,62.0,3.0,0.0,0,0,0.0,0.0,0.0,0
매작과,405.0,100.0,64.0,9.0,12.0,1,0,0.0,0.0,0.0,0
다식,351.0,100.0,69.0,12.0,6.0,1,0,0.0,0.0,0.0,0
약과,379.0,100.0,74.0,9.0,4.0,0,0,0.0,0.0,0.0,0
유과,430.0,100.0,80.0,1.0,12.0,1,0,0.0,0.0,0.0,0
산자,406.0,100.0,82.0,3.0,4.0,0,0,0.0,0.0,0.0,0
깨강정,501.0,100.0,45.0,15.0,33.0,1,0,0.0,0.0,0.0,0
채소 계란말이,440.0,,5.0,11.0,42.0,0,0,0.0,1.0,0.0,0
가자미 구이,245.0,,3.0,37.4,10.0,0,0,0.0,0.0,1.0,1
고추 잡채,192.0,,19.6,8.2,9.0,0,0,0.0,1.0,0.0,1
버섯전골,233.0,,14.3,15.4,12.7,0,0,0.0,1.0,0.0,1
닭안심 냉채,80.0,,6.2,11.8,1.8,0,0,1.0,0.0,0.0,2
청포묵 무침,47.0,,7.3,0.9,1.7,0,0,0.0,1.0,0.0,1
연두부,50.0,,1.9,4.7,2.5,0,0,0.0,0.0,0.0,1
순두부국,58.0,,2.0,5.0,3.0,0,0,0.0,0.0,0.0,2
닭가슴살 양파볶음,176.0,,6.1,24.0,5.4,0,0,1.0,1.0,0.0,1
청경채소 불고기,250.0,,1.0,25.0,20.0,0,0,1.0,1.0,0.0,1
연두부계란찜,220.0,,4.0,21.0,16.0,0,0,0.0,0.0,0.0,1
돼지고기사태찜,148.0,,5.3,17.7,5.9,0,0,1.0,0.0,0.0,1
고등어조림,214.0,,4.4,19.0,12.6,0,0,0.0,0.0,1.0,1
애호박새우전,115.0,,9.0,6.0,6.0,0,0,0.0,1.0,1.0,1
배추된장국,64.0,,6.5,3.8,2.0,0,0,0.0,1.0,0.0,1
흰살 생선 완자전,544.0,,97.0,28.0,6.0,0,0,0.0,0.0,1.0,0
쑥갓 나물무침,96.0,,6.6,4.5,5.7,0,0,0.0,1.0,0.0,1
채소 스틱,125.0,,14.0,4.0,6.0,0,0,0.0,1.0,0.0,1
메밀전병,305.0,,41.3,11.4,9.4,0,0,0.0,0.0,0.0,0
양송이 버섯볶음,66.2,,3.3,3.1,0.3,0,0,0.0,1.0,0.0,1
양배추샐러드,153.0,,14.0,0.8,1.0,0,0,0.0,1.0,0.0,1
오징어볶음,188.0,,11.2,18.6,6.9,0,0,0.0,0.0,1.0,1
오이소박이,27.0,,4.2,1.4,0.4,0,0,0.0,1.0,0.0,1
된장찌개,92.0,,5.7,6.8,3.3,0,0,0.0,0.0,0.0,2
미역초무침,40.0,,8.3,1.9,0.3,0,0,0.0,1.0,0.0,1
메추리알돼지고기장조림,120.0,,6.0,10.0,6.0,0,0,1.0,0.0,0.0,1
시금치무침,54.0,,4.4,3.0,2.5,0,0,0.0,1.0,0.0,1
홍합미역국,65.0,,9.0,6.0,0.7,0,0,0.0,0.0,1.0,2
명이나물 간장절임,55.0,,12.1,2.4,0.6,0,0,0.0,1.0,0.0,1
연포탕,190.0,,23.8,16.5,2.1,0,0,0.0,0.0,1.0,1
새송이버섯 떡갈비,130.0,,9.0,14.0,4.0,0,0,1.0,0.0,0.0,1
더덕구이,128.0,,21.8,2.2,3.6,0,0,0.0,1.0,0.0,1
돼지고기 편육,163.0,,3.1,17.4,8.5,0,0,1.0,0.0,0.0,1
꽃게 해물찜,400.0,,35.4,42.6,9.8,0,0,0.0,0.0,1.0,0
연근&호박전,132.0,,12.4,3.7,7.7,0,0,0.0,1.0,0.0,1
다시마장국,92.0,,21.0,2.0,0.0,0,0,0.0,1.0,0.0,1
비지찌개,68.0,,5.3,6.7,3.1,0,0,0.0,1.0,0.0,2
갈치구이,147.0,,0.9,12.7,9.8,0,0,0.0,0.0,1.0,1
더덕무침,144.0,,28.9,2.9,1.9,0,0,0.0,1.0,0.0,1
오징어무국,64.0,,6.0,3.7,3.1,0,0,0.0,0.0,1.0,1
어묵국,72.0,,9.5,4.6,1.8,0,0,0.0,0.0,0.0,1
코다리찜,188.0,,12.2,29.0,2.7,0,0,0.0,0.0,1.0,1
월남쌈,293.0,,30.6,14.9,12.4,0,0,0.0,1.0,0.0,1
꼬막무침,102.0,,7.9,8.9,4.9,0,0,0.0,0.0,1.0,1
청경채나물,15.0,,3.0,0.0,1.0,0,0,0.0,1.0,0.0,1
마늘쫑볶음,69.0,,8.0,1.6,3.2,0,0,0.0,1.0,0.0,1
도토리묵무침,90.0,,16.7,1.3,1.6,0,0,0.0,1.0,0.0,1
두부조림,188.0,,3.3,9.6,14.9,0,0,0.0,0.0,0.0,1
산나물비빔밥,732.0,,116.0,22.0,23.0,0,0,0.0,1.0,0.0,0
버섯불고기밥,420.0,,59.0,12.0,14.0,0,0,1.0,0.0,0.0,0
양배추밥,30.0,,100.0,1.4,0.2,0,0,0.0,1.0,0.0,0
태국식두부면,505.0,,9.0,38.0,35.0,0,0,0.0,1.0,0.0,0
연어 샐러드,250.0,,10.0,20.0,15.0,0,0,0.0,1.0,1.0,1
미역국,60.0,,6.0,4.0,2.0,0,0,0.0,0.0,1.0,1
콩나물무침,70.0,,4.0,3.0,3.0,0,0,0.0,1.0,0.0,1
토마토 계란 볶음,150.0,,7.0,8.0,10.0,0,0,0.0,1.0,0.0,1
닭가슴살 샐러드,220.0,,5.0,30.0,8.0,0,0,1.0,1.0,0.0,1
아보카도 명란 덮밥,350.0,,40.0,15.0,18.0,0,0,0.0,1.0,1.0,0
참치 오이무침,130.0,,4.0,20.0,6.0,0,0,0.0,1.0,0.0,1
채소 스무디,100.0,,20.0,2.0,1.0,0,0,0.0,1.0,0.0,1
양배추 쌈밥,200.0,,35.0,6.0,5.0,0,0,0.0,1.0,0.0,1
가지 볶음,90.0,,10.0,2.0,5.0,0,0,0.0,1.0,0.0,1
감자 샐러드,130.0,,25.0,3.0,4.0,0,0,0.0,1.0,0.0,1
닭고기 채소 볶음,240.0,,15.0,20.0,10.0,0,0,1.0,1.0,0.0,1
쇠고기 미역국,110.0,,5.0,15.0,4.0,0,0,1.0,0.0,0.0,1
고구마 구이,100.0,,23.0,1.0,0.0,0,0,0.0,0.0,0.0,1
참치 샌드위치,300.0,,30.0,20.0,12.0,0,0,0.0,1.0,0.0,1
브로콜리 볶음,70.0,,8.0,4.0,3.0,0,0,0.0,1.0,0.0,1
당근 샐러드,45.0,,10.0,1.0,0.0,0,0,0.0,1.0,0.0,1
채소 라자냐,320.0,,35.0,12.0,15.0,0,0,0.0,1.0,0.0,0
무생채,35.0,,7.0,1.0,0.0,0,0,0.0,1.0,0.0,1
두부 된장국,90.0,,8.0,7.0,4.0,0,0,0.0,0.0,0.0,2
무나물 볶음,70.0,,9.0,2.0,3.0,0,0,0.0,1.0,0.0,1
감자국,80.0,,15.0,2.0,2.0,0,0,0.0,1.0,0.0,1
배추김치,15.0,,3.0,1.0,0.0,0,0,0.0,1.0,0.0,1
파래무침,40.0,,6.0,3.0,1.0,0,0,0.0,1.0,0.0,1
도토리묵 무침,60.0,,12.0,2.0,1.0,0,0,0.0,1.0,0.0,1
황태 해장국,120.0,,5.0,15.0,5.0,0,0,0.0,0.0,1.0,1
오이무침,30.0,,5.0,1.0,1.0,0,0,0.0,1.0,0.0,1
콩나물국,40.0,,6.0,3.0,1.0,0,0,0.0,1.0,0.0,1
알타리무김치,20.0,,4.0,1.0,0.0,0,0,0.0,1.0,0.0,1
보리밥,160.0,,35.0,5.0,1.0,0,0,0.0,0.0,0.0,1
